circRNA_ID	chr	circRNA_start	circRNA_end	#junction_reads	SM_MS_SMS	#non_junction_reads	junction_reads_ratio	circRNA_type	gene_id	strand	junction_reads_ID
chr1:8495063|8614686	chr1	8495063	8614686	7	5_6_2	33	0.298	exon	ENSG00000142599.17,	-	SRR3479243.13833609,SRR3479243.14837516,SRR3479243.25888397,SRR3479243.26833243,SRR3479243.10692449,SRR3479243.29175853,SRR3479243.10131588,
chr1:8508627|8557523	chr1	8508627	8557523	8	3_5_5	56	0.222	exon	ENSG00000142599.17,	-	SRR3479243.15155308,SRR3479243.16096464,SRR3479243.19245613,SRR3479243.19982041,SRR3479243.20624372,SRR3479243.26543233,SRR3479243.9338989,SRR3479243.25643133,
chr1:8508627|8614686	chr1	8508627	8614686	2	1_2_1	47	0.078	exon	ENSG00000142599.17,	-	SRR3479243.25048125,SRR3479243.5878771,
chr1:8541214|8557523	chr1	8541214	8557523	18	6_8_5	50	0.419	exon	ENSG00000142599.17,	-	SRR3479243.997583,SRR3479243.14897839,SRR3479243.15666347,SRR3479243.18158721,SRR3479243.23692632,SRR3479243.7701142,SRR3479243.8446803,SRR3479243.4162583,SRR3479243.454267,SRR3479243.23293083,SRR3479243.23425400,SRR3479243.24221476,SRR3479243.7476628,SRR3479243.20205395,SRR3479243.20225745,SRR3479243.11462045,SRR3479243.4563553,SRR3479243.28347178,
chr1:8541214|8614686	chr1	8541214	8614686	28	10_11_5	43	0.566	exon	ENSG00000142599.17,	-	SRR3479243.1292402,SRR3479243.1431540,SRR3479243.14390810,SRR3479243.14911956,SRR3479243.15490536,SRR3479243.16739140,SRR3479243.22298975,SRR3479243.23306285,SRR3479243.23327960,SRR3479243.7346077,SRR3479243.7482781,SRR3479243.8034361,SRR3479243.19841156,SRR3479243.20013564,SRR3479243.20141317,SRR3479243.20303419,SRR3479243.20937876,SRR3479243.21548205,SRR3479243.24925340,SRR3479243.25066038,SRR3479243.12020535,SRR3479243.3172085,SRR3479243.5204274,SRR3479243.5804906,SRR3479243.28297005,SRR3479243.28515965,SRR3479243.30537347,SRR3479243.30381467,
chr1:8541214|8624380	chr1	8541214	8624380	2	1_1_1	57	0.066	exon	ENSG00000142599.17,	-	SRR3479243.306858,SRR3479243.5359488,
chr1:8556475|8614686	chr1	8556475	8614686	3	3_3_0	52	0.103	exon	ENSG00000142599.17,	-	SRR3479243.23250087,SRR3479243.24406178,SRR3479243.6289086,
chr1:8614561|8624380	chr1	8614561	8624380	3	3_2_1	51	0.105	exon	ENSG00000142599.17,	-	SRR3479243.14588372,SRR3479243.23405804,SRR3479243.6754308,
chr1:8655973|8656441	chr1	8655973	8656441	16	12_12_0	54	0.372	exon	ENSG00000142599.17,	-	SRR3479243.1101603,SRR3479243.1744887,SRR3479243.22759805,SRR3479243.7134559,SRR3479243.7531778,SRR3479243.26323655,SRR3479243.27944531,SRR3479243.10403476,SRR3479243.10412471,SRR3479243.12282138,SRR3479243.3156662,SRR3479243.4526494,SRR3479243.13824543,SRR3479243.11152805,SRR3479243.3928500,SRR3479243.30274366,
chr1:9931891|9934860	chr1	9931891	9934860	8	5_5_5	88	0.154	exon	ENSG00000162441.11,	-	SRR3479243.2252139,SRR3479243.12546469,SRR3479243.17552525,SRR3479243.7860650,SRR3479243.25915281,SRR3479243.26226060,SRR3479243.10060087,SRR3479243.21326278,
chr1:9931891|9935627	chr1	9931891	9935627	3	2_3_1	79	0.071	exon	ENSG00000162441.11,	-	SRR3479243.15495728,SRR3479243.6899847,SRR3479243.28156563,
chr1:10095461|10105744	chr1	10095461	10105744	6	2_2_0	87	0.121	exon	ENSG00000130939.18,	+	SRR3479243.15991357,SRR3479243.17523205,SRR3479243.23497882,SRR3479243.21743295,SRR3479243.26894846,SRR3479243.27501431,
chr1:10146963|10161286	chr1	10146963	10161286	2	2_2_0	266	0.015	exon	ENSG00000130939.18,	+	SRR3479243.20548716,SRR3479243.26080090,
chr1:10149184|10151561	chr1	10149184	10151561	2	2_2_0	150	0.026	exon	ENSG00000130939.18,	+	SRR3479243.1126859,SRR3479243.23044559,
chr1:10149184|10161286	chr1	10149184	10161286	3	2_2_1	183	0.032	exon	ENSG00000130939.18,	+	SRR3479243.25685,SRR3479243.30370246,SRR3479243.10831867,
chr1:10320043|10324895	chr1	10320043	10324895	2	2_2_0	114	0.034	exon	ENSG00000054523.17,	+	SRR3479243.18274219,SRR3479243.29822102,
chr1:10403071|10404279	chr1	10403071	10404279	2	1_2_0	148	0.026	exon	ENSG00000142657.20,	+	SRR3479243.662212,SRR3479243.19109271,
chr1:10411418|10413251	chr1	10411418	10413251	2	2_2_0	161	0.024	exon	ENSG00000142657.20,	+	SRR3479243.492693,SRR3479243.2051533,
chr1:11070900|11076948	chr1	11070900	11076948	2	0_1_2	342	0.012	exon	ENSG00000171824.13,	-	SRR3479243.17873851,SRR3479243.10303121,
chr1:11124498|11133197	chr1	11124498	11133197	2	2_2_0	149	0.026	exon	ENSG00000198793.12,	-	SRR3479243.16419664,SRR3479243.24545358,
chr1:12275825|12278038	chr1	12275825	12278038	4	4_4_0	54	0.129	exon	ENSG00000048707.13,	+	SRR3479243.13207477,SRR3479243.21571788,SRR3479243.12107303,SRR3479243.30535058,
chr1:12299202|12308641	chr1	12299202	12308641	5	3_4_0	13	0.435	exon	ENSG00000048707.13,	+	SRR3479243.14287307,SRR3479243.24608121,SRR3479243.26056419,SRR3479243.29960989,SRR3479243.7544918,
chr1:12578718|12579412	chr1	12578718	12579412	2	2_2_0	99	0.039	exon	ENSG00000162496.8,	-	SRR3479243.20838818,SRR3479243.11576572,
chr1:13731000|13742157	chr1	13731000	13742157	6	5_6_0	10	0.545	exon	ENSG00000116731.22,	+	SRR3479243.12836782,SRR3479243.22946399,SRR3479243.6535152,SRR3479243.21425932,SRR3479243.4220285,SRR3479243.25566813,
chr1:13731000|13749487	chr1	13731000	13749487	3	2_3_1	19	0.240	exon	ENSG00000116731.22,	+	SRR3479243.21766383,SRR3479243.7480747,SRR3479243.4915717,
chr1:13778418|13782831	chr1	13778418	13782831	3	3_3_0	27	0.182	exon	ENSG00000116731.22,	+	SRR3479243.16769657,SRR3479243.23324502,SRR3479243.18668773,
chr1:15493892|15495452	chr1	15493892	15495452	2	1_1_1	97	0.040	exon	ENSG00000132906.17,	-	SRR3479243.2980427,SRR3479243.6573094,
chr1:15536475|15536814	chr1	15536475	15536814	2	2_1_0	44	0.083	exon	ENSG00000116138.12,	+	SRR3479243.21448919,SRR3479243.25109943,
chr1:15717893|15721388	chr1	15717893	15721388	3	2_0_3	87	0.065	exon	ENSG00000116786.11,	+	SRR3479243.25677444,SRR3479243.3388287,SRR3479243.1063605,
chr1:15872816|15876678	chr1	15872816	15876678	19	14_12_0	168	0.184	exon	ENSG00000065526.10,	+	SRR3479243.12690933,SRR3479243.13020162,SRR3479243.13410311,SRR3479243.13446765,SRR3479243.14084001,SRR3479243.15345241,SRR3479243.17147739,SRR3479243.18215842,SRR3479243.22424285,SRR3479243.23512722,SRR3479243.12386251,SRR3479243.5890682,SRR3479243.28330862,SRR3479243.29385309,SRR3479243.31021937,SRR3479243.15820837,SRR3479243.19849524,SRR3479243.11407028,SRR3479243.3231283,
chr1:15911101|15922349	chr1	15911101	15922349	2	2_0_1	356	0.011	exon	ENSG00000065526.10,	+	SRR3479243.4364345,SRR3479243.6201694,
chr1:16036236|16058717	chr1	16036236	16058717	2	2_2_0	6	0.400	intergenic_region	n/a	-	SRR3479243.13225478,SRR3479243.19161424,
chr1:19176592|19187540	chr1	19176592	19187540	2	2_1_1	236	0.017	exon	ENSG00000127481.14,	-	SRR3479243.15822393,SRR3479243.21041927,
chr1:19890385|19907660	chr1	19890385	19907660	2	2_1_1	52	0.071	exon	ENSG00000169914.5,	+	SRR3479243.26687836,SRR3479243.27037852,
chr1:20744744|20773610	chr1	20744744	20773610	2	2_2_0	535	0.007	exon	ENSG00000127483.17,	-	SRR3479243.20165845,SRR3479243.26775775,
chr1:20744744|20780540	chr1	20744744	20780540	3	3_3_0	350	0.017	exon	ENSG00000127483.17,	-	SRR3479243.12682428,SRR3479243.13616512,SRR3479243.7967976,
chr1:20749723|20773610	chr1	20749723	20773610	3	2_3_0	411	0.014	exon	ENSG00000127483.17,	-	SRR3479243.16933060,SRR3479243.3850084,SRR3479243.27499719,
chr1:20757166|20773610	chr1	20757166	20773610	13	8_8_3	408	0.060	exon	ENSG00000127483.17,	-	SRR3479243.12539079,SRR3479243.13401152,SRR3479243.18062847,SRR3479243.22321098,SRR3479243.19768804,SRR3479243.21601482,SRR3479243.25849530,SRR3479243.26607807,SRR3479243.27524802,SRR3479243.11206660,SRR3479243.11597541,SRR3479243.29992008,SRR3479243.30600419,
chr1:20757166|20780540	chr1	20757166	20780540	3	3_3_0	223	0.026	exon	ENSG00000127483.17,	-	SRR3479243.121238,SRR3479243.1453008,SRR3479243.27775990,
chr1:20770930|20773610	chr1	20770930	20773610	2	2_2_0	337	0.012	exon	ENSG00000127483.17,	-	SRR3479243.14402190,SRR3479243.14961165,
chr1:20775724|20776005	chr1	20775724	20776005	2	1_2_0	28	0.125	exon	ENSG00000127483.17,	-	SRR3479243.1715933,SRR3479243.20298284,
chr1:20840856|20886371	chr1	20840856	20886371	3	3_3_0	338	0.017	exon	ENSG00000075151.20,	-	SRR3479243.17743411,SRR3479243.10097224,SRR3479243.29190710,
chr1:20893517|20904971	chr1	20893517	20904971	3	2_2_0	409	0.014	exon	ENSG00000075151.20,	-	SRR3479243.13659659,SRR3479243.15860905,SRR3479243.8205962,
chr1:20941491|20950111	chr1	20941491	20950111	2	2_2_0	345	0.011	exon	ENSG00000075151.20,	-	SRR3479243.2109583,SRR3479243.26094403,
chr1:20969474|20981227	chr1	20969474	20981227	31	14_16_3	367	0.145	exon	ENSG00000075151.20,	-	SRR3479243.1133904,SRR3479243.13076318,SRR3479243.13384172,SRR3479243.14307040,SRR3479243.14693900,SRR3479243.14774047,SRR3479243.22063078,SRR3479243.24431377,SRR3479243.6545278,SRR3479243.9042006,SRR3479243.18772691,SRR3479243.25439231,SRR3479243.26274390,SRR3479243.27002542,SRR3479243.9376478,SRR3479243.9501225,SRR3479243.5026965,SRR3479243.28806545,SRR3479243.30054629,SRR3479243.30386411,SRR3479243.17191325,SRR3479243.18562224,SRR3479243.23457998,SRR3479243.7332786,SRR3479243.20324686,SRR3479243.25198835,SRR3479243.10324924,SRR3479243.10506861,SRR3479243.10609724,SRR3479243.5153953,SRR3479243.5169735,
chr1:20969474|21002808	chr1	20969474	21002808	18	12_9_5	347	0.094	exon	ENSG00000075151.20,	-	SRR3479243.453426,SRR3479243.1691117,SRR3479243.12879434,SRR3479243.13115644,SRR3479243.14642450,SRR3479243.18481181,SRR3479243.22860999,SRR3479243.24283122,SRR3479243.18903107,SRR3479243.27095147,SRR3479243.9788051,SRR3479243.11517895,SRR3479243.12138493,SRR3479243.12345648,SRR3479243.1316849,SRR3479243.20560450,SRR3479243.5853680,SRR3479243.30078336,
chr1:20969474|21111383	chr1	20969474	21111383	2	1_0_2	194	0.020	exon	ENSG00000075151.20,	-	SRR3479243.11549061,SRR3479243.15319198,
chr1:20980334|20981227	chr1	20980334	20981227	8	5_6_4	394	0.039	exon	ENSG00000075151.20,	-	SRR3479243.13386995,SRR3479243.17478313,SRR3479243.22443358,SRR3479243.6416804,SRR3479243.11052737,SRR3479243.6110257,SRR3479243.28680079,SRR3479243.18008742,
chr1:20980334|21050994	chr1	20980334	21050994	3	2_2_0	412	0.014	exon	ENSG00000075151.20,	-	SRR3479243.8410986,SRR3479243.25224860,SRR3479243.27338355,
chr1:21001199|21002808	chr1	21001199	21002808	7	7_5_2	212	0.062	exon	ENSG00000075151.20,	-	SRR3479243.17171526,SRR3479243.7020929,SRR3479243.21731292,SRR3479243.27138662,SRR3479243.10636441,SRR3479243.11010289,SRR3479243.4196923,
chr1:21001199|21050994	chr1	21001199	21050994	3	3_3_0	246	0.024	exon	ENSG00000075151.20,	-	SRR3479243.1889909,SRR3479243.21959770,SRR3479243.30864870,
chr1:21001199|21111383	chr1	21001199	21111383	4	2_0_4	60	0.118	exon	ENSG00000075151.20,	-	SRR3479243.16123422,SRR3479243.22537789,SRR3479243.21415447,SRR3479243.4498138,
chr1:21002713|21089213	chr1	21002713	21089213	5	3_2_3	278	0.035	exon	ENSG00000075151.20,	-	SRR3479243.14837595,SRR3479243.23487425,SRR3479243.19103452,SRR3479243.20151742,SRR3479243.10777782,
chr1:21002713|21111383	chr1	21002713	21111383	4	3_0_4	172	0.044	exon	ENSG00000075151.20,	-	SRR3479243.16147141,SRR3479243.17167196,SRR3479243.24495077,SRR3479243.2478287,
chr1:21050866|21089213	chr1	21050866	21089213	35	27_14_16	285	0.197	exon	ENSG00000075151.20,	-	SRR3479243.255046,SRR3479243.1096591,SRR3479243.1274046,SRR3479243.12913014,SRR3479243.13853611,SRR3479243.14694099,SRR3479243.15004469,SRR3479243.17353894,SRR3479243.22507437,SRR3479243.23214014,SRR3479243.23391452,SRR3479243.24554504,SRR3479243.7526137,SRR3479243.7546387,SRR3479243.7640073,SRR3479243.8329164,SRR3479243.8423080,SRR3479243.18795893,SRR3479243.19010536,SRR3479243.20499169,SRR3479243.20555805,SRR3479243.21183161,SRR3479243.24938013,SRR3479243.25801944,SRR3479243.26329635,SRR3479243.11198760,SRR3479243.11631400,SRR3479243.3909346,SRR3479243.5058002,SRR3479243.5287000,SRR3479243.28326854,SRR3479243.30152887,SRR3479243.30266368,SRR3479243.26365557,SRR3479243.28936238,
chr1:21050866|21111383	chr1	21050866	21111383	16	13_4_8	205	0.135	exon	ENSG00000075151.20,	-	SRR3479243.14125638,SRR3479243.17961788,SRR3479243.22518687,SRR3479243.22972554,SRR3479243.7550467,SRR3479243.20895958,SRR3479243.26234633,SRR3479243.27600729,SRR3479243.9621890,SRR3479243.10693722,SRR3479243.29264723,SRR3479243.13810398,SRR3479243.16764202,SRR3479243.7097251,SRR3479243.7751165,SRR3479243.28500725,
chr1:21089138|21111383	chr1	21089138	21111383	6	2_1_5	180	0.062	exon	ENSG00000075151.20,	-	SRR3479243.27092990,SRR3479243.11220821,SRR3479243.28393508,SRR3479243.1062798,SRR3479243.11280435,SRR3479243.4919950,
chr1:21272699|21290156	chr1	21272699	21290156	10	6_4_2	24	0.455	exon	ENSG00000117298.14,	-	SRR3479243.2214817,SRR3479243.15115500,SRR3479243.18260498,SRR3479243.20008549,SRR3479243.21003425,SRR3479243.11050770,SRR3479243.11746292,SRR3479243.4581704,SRR3479243.2021741,SRR3479243.28417143,
chr1:21715389|21721764	chr1	21715389	21721764	5	1_2_3	158	0.060	exon	ENSG00000090686.15,	-	SRR3479243.14500746,SRR3479243.10770511,SRR3479243.31054163,SRR3479243.22701496,SRR3479243.30388827,
chr1:21748138|21751615	chr1	21748138	21751615	3	3_3_0	143	0.040	exon	ENSG00000090686.15,	-	SRR3479243.2860770,SRR3479243.22998923,SRR3479243.28492911,
chr1:21748138|21753119	chr1	21748138	21753119	3	3_3_0	128	0.045	exon	ENSG00000090686.15,	-	SRR3479243.2742021,SRR3479243.11834508,SRR3479243.30297855,
chr1:22078429|22086866	chr1	22078429	22086866	7	6_6_0	69	0.169	exon	ENSG00000070831.15,	+	SRR3479243.13037870,SRR3479243.16562914,SRR3479243.17391997,SRR3479243.22739593,SRR3479243.18882878,SRR3479243.10694159,SRR3479243.28132597,
chr1:22863037|22865212	chr1	22863037	22865212	2	2_1_0	21	0.160	exon	ENSG00000133216.16,	+	SRR3479243.17893262,SRR3479243.14321875,
chr1:23030469|23040434	chr1	23030469	23040434	2	2_2_0	197	0.020	intron	ENSG00000004487.15,ENSG00000240553.1,	+	SRR3479243.1800249,SRR3479243.21349355,
chr1:23030469|23044486	chr1	23030469	23044486	3	3_2_1	302	0.019	exon	ENSG00000004487.15,	+	SRR3479243.2423825,SRR3479243.14642238,SRR3479243.25526373,
chr1:23030469|23050520	chr1	23030469	23050520	28	23_23_1	415	0.119	exon	ENSG00000004487.15,	+	SRR3479243.2153973,SRR3479243.12608700,SRR3479243.14604871,SRR3479243.15213971,SRR3479243.16425114,SRR3479243.17267226,SRR3479243.24406041,SRR3479243.24505434,SRR3479243.8412249,SRR3479243.8721051,SRR3479243.8895797,SRR3479243.19758220,SRR3479243.19839641,SRR3479243.20326317,SRR3479243.20804616,SRR3479243.20921835,SRR3479243.21031994,SRR3479243.21181842,SRR3479243.27171030,SRR3479243.27619662,SRR3479243.10096726,SRR3479243.4124736,SRR3479243.5156263,SRR3479243.28230809,SRR3479243.29930004,SRR3479243.29974409,SRR3479243.30709049,SRR3479243.24477418,
chr1:23030469|23059167	chr1	23030469	23059167	10	9_8_1	402	0.047	exon	ENSG00000004487.15,	+	SRR3479243.766461,SRR3479243.15800125,SRR3479243.16831479,SRR3479243.18335112,SRR3479243.22431878,SRR3479243.24742542,SRR3479243.7653701,SRR3479243.8941922,SRR3479243.25355217,SRR3479243.30906761,
chr1:23050387|23059167	chr1	23050387	23059167	7	6_3_4	541	0.025	exon	ENSG00000004487.15,	+	SRR3479243.16197897,SRR3479243.24784520,SRR3479243.7839155,SRR3479243.27761896,SRR3479243.3343836,SRR3479243.3665911,SRR3479243.5769040,
chr1:23071225|23072197	chr1	23071225	23072197	7	6_1_5	766	0.018	exon	ENSG00000004487.15,	+	SRR3479243.15484185,SRR3479243.16091375,SRR3479243.23000499,SRR3479243.7172153,SRR3479243.7497302,SRR3479243.27240563,SRR3479243.28783948,
chr1:24514314|24514567	chr1	24514314	24514567	4	3_3_1	15	0.348	exon	ENSG00000117602.11,	+	SRR3479243.12390699,SRR3479243.4064449,SRR3479243.4904280,SRR3479243.3549818,
chr1:24797742|24814219	chr1	24797742	24814219	3	1_2_0	309	0.019	exon	ENSG00000169504.14,	+	SRR3479243.14454150,SRR3479243.29284990,SRR3479243.1015092,
chr1:25340474|25351693	chr1	25340474	25351693	2	2_0_2	286	0.014	exon	ENSG00000183726.10,	+	SRR3479243.13194900,SRR3479243.8406740,
chr1:26239762|26244318	chr1	26239762	26244318	2	2_2_0	182	0.022	exon	ENSG00000130695.13,	+	SRR3479243.23266558,SRR3479243.28943134,
chr1:26257597|26259802	chr1	26257597	26259802	5	4_3_1	169	0.056	exon	ENSG00000130695.13,	+	SRR3479243.1756448,SRR3479243.19436068,SRR3479243.19657209,SRR3479243.7509176,SRR3479243.21360592,
chr1:26268483|26269614	chr1	26268483	26269614	2	2_2_0	122	0.032	exon	ENSG00000130695.13,	+	SRR3479243.7901381,SRR3479243.20487045,
chr1:26294205|26298062	chr1	26294205	26298062	2	2_2_0	45	0.082	exon	ENSG00000158062.20,	-	SRR3479243.20333246,SRR3479243.25234682,
chr1:26446316|26447660	chr1	26446316	26447660	2	1_2_1	48	0.077	exon	ENSG00000117682.16,	+	SRR3479243.3399891,SRR3479243.5685139,
chr1:26729651|26732792	chr1	26729651	26732792	3	2_3_1	41	0.128	exon	ENSG00000117713.18,	+	SRR3479243.346893,SRR3479243.1861231,SRR3479243.3861286,
chr1:26941457|26941818	chr1	26941457	26941818	7	5_2_2	178	0.073	exon	ENSG00000090273.13,	+	SRR3479243.19274262,SRR3479243.11472566,SRR3479243.28729897,SRR3479243.28729898,SRR3479243.1303226,SRR3479243.22322763,SRR3479243.28446194,
chr1:26942660|26943065	chr1	26942660	26943065	31	11_17_4	67	0.481	exon	ENSG00000090273.13,	+	SRR3479243.2244824,SRR3479243.13424275,SRR3479243.13514273,SRR3479243.13698299,SRR3479243.14331472,SRR3479243.15981995,SRR3479243.16780861,SRR3479243.18433019,SRR3479243.21844794,SRR3479243.22045604,SRR3479243.22921622,SRR3479243.8734497,SRR3479243.18976317,SRR3479243.19534399,SRR3479243.20304640,SRR3479243.20645918,SRR3479243.20902919,SRR3479243.20957815,SRR3479243.21553750,SRR3479243.27308446,SRR3479243.27765696,SRR3479243.11419895,SRR3479243.3579186,SRR3479243.5896057,SRR3479243.28086668,SRR3479243.30286388,SRR3479243.30374424,SRR3479243.775941,SRR3479243.15916461,SRR3479243.6291929,SRR3479243.4589817,
chr1:28010947|28017239	chr1	28010947	28017239	3	2_2_1	87	0.065	exon	ENSG00000158161.15,	-	SRR3479243.14485285,SRR3479243.16279009,SRR3479243.24813364,
chr1:28035544|28048426	chr1	28035544	28048426	4	3_0_4	144	0.053	exon	ENSG00000158161.15,	-	SRR3479243.2763986,SRR3479243.13871447,SRR3479243.6123187,SRR3479243.7062231,
chr1:28035544|28058094	chr1	28035544	28058094	4	4_3_1	120	0.062	exon	ENSG00000158161.15,	-	SRR3479243.17246159,SRR3479243.22847743,SRR3479243.11217925,SRR3479243.30091974,
chr1:28459085|28466535	chr1	28459085	28466535	7	6_5_0	145	0.088	intergenic_region	n/a	+	SRR3479243.1094267,SRR3479243.14803599,SRR3479243.23821781,SRR3479243.19543283,SRR3479243.26950251,SRR3479243.3433087,SRR3479243.124794,
chr1:28473554|28476291	chr1	28473554	28476291	3	2_3_0	99	0.057	exon	ENSG00000204138.12,	+	SRR3479243.17615923,SRR3479243.12160976,SRR3479243.30075799,
chr1:28531803|28532350	chr1	28531803	28532350	2	2_2_0	275	0.014	exon	ENSG00000180198.15,	+	SRR3479243.24861751,SRR3479243.25200782,
chr1:28605372|28622165	chr1	28605372	28622165	4	3_4_1	195	0.039	exon	ENSG00000120656.11,	-	SRR3479243.1517554,SRR3479243.7008688,SRR3479243.20800644,SRR3479243.25244881,
chr1:28683583|28697084	chr1	28683583	28697084	2	2_2_0	26	0.133	exon	ENSG00000162419.12,	+	SRR3479243.2436202,SRR3479243.25829311,
chr1:28742403|28743986	chr1	28742403	28743986	13	12_10_0	274	0.087	exon	ENSG00000198492.15,	+	SRR3479243.12570491,SRR3479243.13222788,SRR3479243.14215274,SRR3479243.14611018,SRR3479243.17271468,SRR3479243.17658993,SRR3479243.23077670,SRR3479243.19928203,SRR3479243.21061307,SRR3479243.21302637,SRR3479243.11660803,SRR3479243.8703835,SRR3479243.4284674,
chr1:28987431|28987905	chr1	28987431	28987905	2	2_2_0	173	0.023	exon	ENSG00000159023.19,	+	SRR3479243.20707403,SRR3479243.30695141,
